# ============================================================
# TGA (N2 assumed, 10 C/min, 25-800 C) -- SYNTHETIC DEMONSTRATION DATASET
# ============================================================
# DEMONSTRATION DATASET. Synthetically generated for portfolio purposes. These values were not measured on any instrument and do not describe a real sample.
#
# This file was produced by scripts/generate_synthetic_datasets.py
# for a data-analysis PORTFOLIO project. It is NOT an instrument
# export and must not be cited as experimental evidence.
#
# Hypothetical sample : Fe3O4 (magnetite), cubic inverse spinel, space group Fd-3m (No. 227)
# Random seed         : 20240517
#
# Generative model:
#   - three logistic mass-loss steps at ~78, ~243 and ~522 C
#   - amplitudes 2.60 / 1.70 / 0.60 % of initial mass
#   - NO organic-decomposition step: design assumes no capping agent
#   - INERT atmosphere assumed -> no oxidative mass gain
#   - buoyancy drift + microbalance noise included
# ============================================================
temperature_C,mass_percent,mass_mg
498.5,95.5234,9.39951
499.0,95.5207,9.39924
499.5,95.5216,9.39932
500.0,95.5247,9.39963
500.5,95.517,9.39888
501.0,95.5092,9.3981
501.5,95.5069,9.39788
502.0,95.5138,9.39856
502.5,95.5102,9.3982
503.0,95.506,9.39779
503.5,95.5008,9.39728
504.0,95.4954,9.39674
504.5,95.495,9.39671
505.0,95.4984,9.39705
505.5,95.4925,9.39647
506.0,95.4925,9.39646
506.5,95.4898,9.3962
507.0,95.4856,9.39578
507.5,95.4883,9.39604
508.0,95.4865,9.39587
508.5,95.4787,9.3951
509.0,95.49,9.39621
509.5,95.4863,9.39585
510.0,95.4789,9.39512
510.5,95.4757,9.39481
511.0,95.4731,9.39455
511.5,95.4721,9.39445
512.0,95.4664,9.39389
512.5,95.4688,9.39413
513.0,95.4696,9.39421
513.5,95.4697,9.39422
514.0,95.4655,9.39381
514.5,95.462,9.39346
515.0,95.4586,9.39312
515.5,95.4591,9.39317
516.0,95.4605,9.39331
516.5,95.4542,9.39269
517.0,95.4516,9.39243
517.5,95.4415,9.39144
518.0,95.4398,9.39128
518.5,95.4457,9.39186
519.0,95.4466,9.39195
519.5,95.4425,9.39154
520.0,95.445,9.39179
520.5,95.4339,9.39069
521.0,95.4282,9.39014
521.5,95.4353,9.39083
522.0,95.4378,9.39108
522.5,95.4292,9.39024
523.0,95.4245,9.38977
523.5,95.4279,9.39011
524.0,95.4241,9.38973
524.5,95.4235,9.38967
525.0,95.4166,9.38899
525.5,95.4203,9.38936
526.0,95.4139,9.38872
526.5,95.4195,9.38928
527.0,95.4116,9.3885
527.5,95.4084,9.38819
528.0,95.404,9.38776
528.5,95.4095,9.38829
529.0,95.4095,9.3883
529.5,95.403,9.38766
530.0,95.4036,9.38771
530.5,95.3948,9.38684
531.0,95.3969,9.38705
531.5,95.3916,9.38654
532.0,95.3909,9.38646
532.5,95.3962,9.38699
533.0,95.39,9.38637
533.5,95.3924,9.38661
534.0,95.3876,9.38614
534.5,95.3824,9.38563
535.0,95.3749,9.38489
535.5,95.3826,9.38565
536.0,95.3707,9.38447
536.5,95.3761,9.38501
537.0,95.3694,9.38435
537.5,95.3751,9.38491
538.0,95.3754,9.38494
538.5,95.3632,9.38374
539.0,95.3637,9.38379
539.5,95.3519,9.38263
540.0,95.3579,9.38321
540.5,95.3612,9.38354
541.0,95.3547,9.3829
541.5,95.3535,9.38279
542.0,95.3602,9.38344
542.5,95.3564,9.38307
543.0,95.3563,9.38306
543.5,95.3476,9.3822
544.0,95.3476,9.38221
544.5,95.3484,9.38228
545.0,95.3448,9.38193
545.5,95.349,9.38234
546.0,95.3422,9.38167
546.5,95.3437,9.38182
547.0,95.3296,9.38043
547.5,95.3329,9.38075
548.0,95.3262,9.3801
548.5,95.3334,9.38081
549.0,95.3261,9.38009
549.5,95.3273,9.3802
550.0,95.332,9.38067
550.5,95.3243,9.37991
551.0,95.3193,9.37942
551.5,95.3165,9.37915
552.0,95.3212,9.37961
552.5,95.3193,9.37942
553.0,95.3258,9.38006
553.5,95.3126,9.37876
554.0,95.3093,9.37844
554.5,95.3201,9.37949
555.0,95.3091,9.37842
555.5,95.3108,9.37859
556.0,95.3091,9.37842
556.5,95.3054,9.37805
557.0,95.3131,9.37881
557.5,95.3037,9.37789
558.0,95.3042,9.37794
558.5,95.3088,9.37839
559.0,95.2935,9.37688
559.5,95.2907,9.3766
560.0,95.291,9.37664
560.5,95.2891,9.37645
561.0,95.2907,9.3766
561.5,95.2836,9.37591
562.0,95.298,9.37732
562.5,95.2872,9.37626
563.0,95.2906,9.3766
563.5,95.2829,9.37584
564.0,95.2764,9.3752
564.5,95.2762,9.37518
565.0,95.2805,9.3756
565.5,95.2769,9.37525
566.0,95.2805,9.3756
566.5,95.2768,9.37524
567.0,95.272,9.37477
567.5,95.2653,9.37411
568.0,95.2739,9.37495
568.5,95.2608,9.37366
569.0,95.269,9.37447
569.5,95.269,9.37447
570.0,95.2683,9.3744
570.5,95.2645,9.37403
571.0,95.2546,9.37305
571.5,95.2564,9.37323
572.0,95.2629,9.37387
572.5,95.2613,9.37372
573.0,95.2527,9.37286
573.5,95.2568,9.37327
574.0,95.249,9.3725
574.5,95.2531,9.37291
575.0,95.2552,9.37311
575.5,95.2493,9.37253
576.0,95.2467,9.37228
576.5,95.2474,9.37235
577.0,95.2428,9.37189
577.5,95.2502,9.37262
578.0,95.24,9.37161
578.5,95.244,9.372
579.0,95.2463,9.37223
579.5,95.237,9.37132
580.0,95.2351,9.37113
580.5,95.2456,9.37216
581.0,95.2341,9.37104
581.5,95.2343,9.37105
582.0,95.2316,9.37079
582.5,95.2436,9.37197
583.0,95.2262,9.37026
583.5,95.2314,9.37077
584.0,95.2395,9.37157
584.5,95.2293,9.37056
585.0,95.2319,9.37082
585.5,95.2241,9.37005
586.0,95.222,9.36985
586.5,95.2253,9.37017
587.0,95.2215,9.36979
587.5,95.2216,9.36981
588.0,95.2237,9.37001
588.5,95.2249,9.37013
589.0,95.223,9.36994
589.5,95.2275,9.37039
590.0,95.2147,9.36912
590.5,95.2122,9.36888
591.0,95.2113,9.36879
591.5,95.2072,9.36839
592.0,95.2176,9.36941
592.5,95.2158,9.36923
593.0,95.2145,9.36911
593.5,95.2154,9.3692
594.0,95.2127,9.36893
594.5,95.2149,9.36914
595.0,95.2105,9.36872
595.5,95.2079,9.36846
596.0,95.2125,9.36891
596.5,95.212,9.36886
597.0,95.207,9.36837
597.5,95.2071,9.36838
598.0,95.2042,9.3681
598.5,95.203,9.36797
599.0,95.2073,9.3684
599.5,95.21,9.36866
600.0,95.1999,9.36767
600.5,95.1981,9.36749
601.0,95.1961,9.3673
601.5,95.2001,9.36769
602.0,95.2066,9.36833
602.5,95.204,9.36808
603.0,95.2028,9.36795
603.5,95.1894,9.36664
604.0,95.1939,9.36708
604.5,95.196,9.36728
605.0,95.1922,9.36691
605.5,95.1939,9.36708
606.0,95.1937,9.36706
606.5,95.1901,9.3667
607.0,95.1915,9.36684
607.5,95.1959,9.36727
608.0,95.1945,9.36714
608.5,95.1899,9.36669
609.0,95.184,9.36611
609.5,95.1886,9.36656
610.0,95.1938,9.36707
610.5,95.1909,9.36679
611.0,95.1918,9.36688
611.5,95.1825,9.36596
612.0,95.1839,9.3661
612.5,95.1934,9.36703
613.0,95.1918,9.36687
613.5,95.1775,9.36546
614.0,95.1844,9.36615
614.5,95.1814,9.36585
615.0,95.191,9.36679
615.5,95.1796,9.36567
616.0,95.1814,9.36585
616.5,95.179,9.36561
617.0,95.1806,9.36577
617.5,95.1728,9.365
618.0,95.1739,9.36512
618.5,95.1783,9.36555
619.0,95.1785,9.36557
619.5,95.1716,9.36488
620.0,95.177,9.36542
620.5,95.1767,9.36538
621.0,95.1804,9.36576
621.5,95.177,9.36542
622.0,95.1773,9.36545
622.5,95.1752,9.36524
623.0,95.1733,9.36505
623.5,95.1801,9.36572
624.0,95.1711,9.36484
624.5,95.1745,9.36517
625.0,95.1787,9.36559
625.5,95.1772,9.36543
626.0,95.1792,9.36564
626.5,95.1727,9.36499
627.0,95.1706,9.36479
627.5,95.1689,9.36462
628.0,95.1741,9.36513
628.5,95.1701,9.36474
629.0,95.1665,9.36439
629.5,95.1649,9.36423
630.0,95.1686,9.36459
630.5,95.1677,9.3645
631.0,95.1746,9.36518
631.5,95.1628,9.36402
632.0,95.1709,9.36481
632.5,95.1625,9.36399
633.0,95.1718,9.36491
633.5,95.1618,9.36392
634.0,95.1687,9.3646
634.5,95.1624,9.36398
635.0,95.1652,9.36426
635.5,95.1567,9.36342
636.0,95.1757,9.36529
636.5,95.1509,9.36285
637.0,95.1644,9.36418
637.5,95.1677,9.3645
638.0,95.1666,9.36439
638.5,95.1701,9.36474
639.0,95.156,9.36335
639.5,95.1581,9.36356
640.0,95.1667,9.3644
640.5,95.161,9.36385
641.0,95.1563,9.36338
641.5,95.1607,9.36381
642.0,95.1695,9.36468
642.5,95.1609,9.36383
643.0,95.1623,9.36397
643.5,95.1603,9.36377
644.0,95.1561,9.36336
644.5,95.161,9.36384
645.0,95.1542,9.36318
645.5,95.155,9.36325
646.0,95.1544,9.3632
646.5,95.1579,9.36354
647.0,95.1558,9.36333
647.5,95.1537,9.36312
648.0,95.1644,9.36417
648.5,95.1569,9.36344
649.0,95.1508,9.36284
649.5,95.1543,9.36319
650.0,95.1525,9.36301
650.5,95.1585,9.3636
651.0,95.1578,9.36353
651.5,95.1638,9.36412
652.0,95.1537,9.36313
652.5,95.1578,9.36353
653.0,95.1508,9.36284
653.5,95.1525,9.36301
654.0,95.1558,9.36333
654.5,95.1587,9.36361
655.0,95.1531,9.36307
655.5,95.1559,9.36334
656.0,95.1583,9.36358
656.5,95.1601,9.36376
657.0,95.1582,9.36356
657.5,95.1552,9.36328
658.0,95.1553,9.36328
658.5,95.1501,9.36277
659.0,95.1497,9.36273
659.5,95.163,9.36404
660.0,95.1495,9.36271
660.5,95.1532,9.36308
661.0,95.1508,9.36284
661.5,95.1483,9.3626
662.0,95.1494,9.3627
662.5,95.157,9.36345
663.0,95.1447,9.36224
663.5,95.1533,9.36309
664.0,95.152,9.36296
664.5,95.1624,9.36398
665.0,95.1567,9.36341
665.5,95.1488,9.36265
666.0,95.1573,9.36348
666.5,95.1456,9.36233
667.0,95.1476,9.36253
667.5,95.1477,9.36253
668.0,95.1601,9.36376
668.5,95.15,9.36276
669.0,95.1519,9.36295
669.5,95.1525,9.363
670.0,95.153,9.36305
670.5,95.1481,9.36257
671.0,95.1566,9.36341
671.5,95.1447,9.36224
672.0,95.1478,9.36254
672.5,95.1436,9.36213
673.0,95.1544,9.3632
673.5,95.1536,9.36312
674.0,95.1446,9.36223
674.5,95.1474,9.3625
675.0,95.1447,9.36224
675.5,95.1472,9.36249
676.0,95.1507,9.36283
676.5,95.1511,9.36287
677.0,95.1496,9.36272
677.5,95.1479,9.36256
678.0,95.149,9.36266
678.5,95.1528,9.36303
679.0,95.1429,9.36206
679.5,95.1406,9.36183
680.0,95.1537,9.36313
680.5,95.1332,9.3611
681.0,95.1419,9.36196
681.5,95.1372,9.3615
682.0,95.1412,9.3619
682.5,95.1523,9.36299
683.0,95.1503,9.36279
683.5,95.1478,9.36255
684.0,95.1547,9.36322
684.5,95.1393,9.36171
685.0,95.1455,9.36231
685.5,95.143,9.36207
686.0,95.1461,9.36237
686.5,95.1504,9.3628
687.0,95.1557,9.36332
687.5,95.1436,9.36213
688.0,95.1438,9.36215
688.5,95.1481,9.36257
689.0,95.1476,9.36253
689.5,95.1486,9.36263
690.0,95.1464,9.3624
690.5,95.1497,9.36273
691.0,95.1458,9.36235
691.5,95.1438,9.36215
692.0,95.1368,9.36146
692.5,95.1431,9.36208
693.0,95.1538,9.36314
693.5,95.1502,9.36278
694.0,95.1505,9.36281
694.5,95.1517,9.36292
695.0,95.1497,9.36273
695.5,95.142,9.36197
696.0,95.1376,9.36154
696.5,95.1381,9.36159
697.0,95.1421,9.36199
697.5,95.1409,9.36186
698.0,95.1476,9.36252
698.5,95.1389,9.36167
699.0,95.1473,9.36249
699.5,95.1478,9.36255
700.0,95.133,9.36108
700.5,95.1469,9.36246
701.0,95.145,9.36227
701.5,95.149,9.36266
702.0,95.1404,9.36182
702.5,95.1498,9.36274
703.0,95.1452,9.36228
703.5,95.1493,9.36269
704.0,95.1426,9.36203
704.5,95.1426,9.36203
705.0,95.1457,9.36234
705.5,95.1479,9.36256
706.0,95.1471,9.36247
706.5,95.1481,9.36257
707.0,95.1508,9.36284
707.5,95.144,9.36217
708.0,95.1422,9.36199
708.5,95.14,9.36178
709.0,95.143,9.36207
709.5,95.1393,9.36171
710.0,95.1457,9.36234
710.5,95.144,9.36217
711.0,95.1367,9.36145
711.5,95.1453,9.3623
712.0,95.1471,9.36248
712.5,95.1399,9.36177
713.0,95.1443,9.3622
713.5,95.1489,9.36265
714.0,95.1433,9.3621
714.5,95.1416,9.36193
715.0,95.1466,9.36242
715.5,95.1491,9.36267
716.0,95.147,9.36246
716.5,95.1436,9.36213
717.0,95.1411,9.36189
717.5,95.152,9.36296
718.0,95.1434,9.36211
718.5,95.143,9.36207
719.0,95.147,9.36246
719.5,95.1444,9.36221
720.0,95.1481,9.36258
720.5,95.1485,9.36261
721.0,95.1403,9.3618
721.5,95.1454,9.3623
722.0,95.1453,9.3623
722.5,95.1478,9.36254
723.0,95.142,9.36197
723.5,95.145,9.36227
724.0,95.1411,9.36188
724.5,95.1379,9.36157
725.0,95.1448,9.36225
725.5,95.1398,9.36176
726.0,95.1485,9.36261
726.5,95.1399,9.36177
727.0,95.1391,9.36168
727.5,95.1426,9.36203
728.0,95.1434,9.36211
728.5,95.1421,9.36198
729.0,95.1548,9.36323
729.5,95.1405,9.36182
730.0,95.1436,9.36213
730.5,95.1476,9.36252
731.0,95.1443,9.3622
731.5,95.1423,9.36201
732.0,95.1493,9.36269
732.5,95.1436,9.36213
733.0,95.1473,9.3625
733.5,95.1416,9.36193
734.0,95.1421,9.36199
734.5,95.1495,9.36271
735.0,95.1437,9.36214
735.5,95.1403,9.36181
736.0,95.1421,9.36198
736.5,95.1421,9.36199
737.0,95.1472,9.36248
737.5,95.1533,9.36309
738.0,95.1349,9.36128
738.5,95.1362,9.3614
739.0,95.1434,9.36211
739.5,95.1362,9.3614
740.0,95.1462,9.36238
740.5,95.1478,9.36254
741.0,95.142,9.36197
741.5,95.1414,9.36192
742.0,95.1467,9.36243
742.5,95.1454,9.3623
743.0,95.1412,9.36189
743.5,95.1443,9.36219
744.0,95.1467,9.36244
744.5,95.1426,9.36203
745.0,95.1452,9.36229
745.5,95.1491,9.36267
746.0,95.1536,9.36311
746.5,95.1411,9.36188
747.0,95.1358,9.36136
747.5,95.149,9.36266
748.0,95.135,9.36128
748.5,95.1471,9.36248
749.0,95.1485,9.36261
749.5,95.1372,9.3615
750.0,95.1397,9.36175
750.5,95.1402,9.36179
751.0,95.1482,9.36258
751.5,95.1411,9.36189
752.0,95.1378,9.36156
752.5,95.1429,9.36206
753.0,95.1446,9.36223
753.5,95.1343,9.36122
754.0,95.1442,9.36219
754.5,95.1493,9.36269
755.0,95.1385,9.36163
755.5,95.1453,9.36229
756.0,95.1438,9.36215
756.5,95.1509,9.36285
757.0,95.142,9.36198
757.5,95.1485,9.36261
758.0,95.1385,9.36162
758.5,95.1533,9.36308
759.0,95.1472,9.36248
759.5,95.1438,9.36215
760.0,95.1402,9.36179
760.5,95.1427,9.36204
761.0,95.1405,9.36183
761.5,95.1354,9.36132
762.0,95.1437,9.36214
762.5,95.1491,9.36267
763.0,95.1455,9.36232
763.5,95.1363,9.36142
764.0,95.1389,9.36167
764.5,95.1402,9.3618
765.0,95.1449,9.36226
765.5,95.1308,9.36087
766.0,95.1481,9.36257
766.5,95.1431,9.36208
767.0,95.1437,9.36214
767.5,95.1457,9.36234
768.0,95.1493,9.36269
768.5,95.1414,9.36191
769.0,95.1436,9.36213
769.5,95.1398,9.36176
770.0,95.142,9.36198
770.5,95.1413,9.3619
771.0,95.1495,9.36271
771.5,95.1437,9.36214
772.0,95.144,9.36217
772.5,95.1439,9.36216
773.0,95.1427,9.36205
773.5,95.1387,9.36165
774.0,95.1456,9.36233
774.5,95.1432,9.36209
775.0,95.1501,9.36277
775.5,95.1517,9.36293
776.0,95.1471,9.36248
776.5,95.1495,9.36271
777.0,95.1397,9.36174
777.5,95.1449,9.36226
778.0,95.1454,9.36231
778.5,95.1407,9.36185
779.0,95.1466,9.36242
779.5,95.1455,9.36232
780.0,95.1407,9.36185
780.5,95.1367,9.36145
781.0,95.1413,9.36191
781.5,95.1443,9.3622
782.0,95.1467,9.36243
782.5,95.1441,9.36217
783.0,95.1457,9.36234
783.5,95.1374,9.36152
784.0,95.145,9.36227
784.5,95.1356,9.36134
785.0,95.1421,9.36198
785.5,95.1373,9.36151
786.0,95.1416,9.36193
786.5,95.1569,9.36344
787.0,95.1557,9.36332
787.5,95.15,9.36276
788.0,95.1482,9.36259
788.5,95.1446,9.36223
789.0,95.1445,9.36222
789.5,95.1371,9.36149
790.0,95.1477,9.36253
790.5,95.141,9.36188
791.0,95.1372,9.3615
791.5,95.149,9.36266
792.0,95.1455,9.36232
792.5,95.1464,9.3624
793.0,95.1424,9.36201
793.5,95.1505,9.36281
794.0,95.1509,9.36285
794.5,95.1432,9.36209
795.0,95.1448,9.36225
795.5,95.1454,9.3623
796.0,95.1483,9.36259
796.5,95.1483,9.36259
797.0,95.1388,9.36166
797.5,95.149,9.36266
798.0,95.1524,9.363
798.5,95.1401,9.36178
799.0,95.1445,9.36222
799.5,95.1436,9.36213
800.0,95.1466,9.36243
